amount_level,country_risk,device_type,login_time,merchant_type,failed_attempts,fraud
Low,Local,Known,Normal,Electronics,No,No
High,Local,Known,Normal,Travel,No,Yes
Medium,Foreign,Unknown,Normal,Travel,Yes,No
Medium,Foreign,Known,Normal,Grocery,No,No
Low,Foreign,Known,Normal,Grocery,Yes,Yes
Low,Local,Known,Unusual,Grocery,No,No
Low,Foreign,Known,Unusual,Grocery,No,No
High,Foreign,Known,Normal,Grocery,No,Yes
Medium,Local,Known,Normal,Electronics,No,No
Medium,Local,Known,Normal,Grocery,No,No
Low,Local,Known,Normal,Grocery,No,No
High,HighRisk,Known,Normal,Grocery,No,No
Medium,HighRisk,Unknown,Normal,Electronics,No,No
Low,Local,Known,Normal,Grocery,No,No
Low,Foreign,Known,Normal,Electronics,No,No
Low,HighRisk,Known,Normal,Grocery,No,No
Low,Local,Known,Normal,Travel,No,No
Medium,Local,Unknown,Normal,Travel,No,No
Low,HighRisk,Known,Normal,Grocery,No,No
Low,Local,Known,Normal,Grocery,Yes,Yes
Medium,Foreign,Unknown,Normal,Grocery,No,Yes
Low,Local,Known,Normal,Grocery,No,No
Low,HighRisk,Unknown,Normal,Electronics,Yes,No
Low,HighRisk,Known,Normal,Travel,No,Yes
Low,HighRisk,Known,Normal,Electronics,Yes,Yes
Medium,Local,Known,Normal,Travel,No,No
Low,Foreign,Known,Unusual,Grocery,No,No
Medium,Foreign,Unknown,Normal,Grocery,No,Yes
Medium,Local,Known,Normal,Travel,No,No
Low,Foreign,Known,Normal,Grocery,No,No
Medium,Local,Known,Normal,Electronics,No,No
Low,Local,Known,Normal,Grocery,No,No
Low,Local,Known,Normal,Grocery,No,No
High,Local,Unknown,Normal,Crypto,No,Yes
High,Local,Known,Normal,Grocery,No,No
Medium,Foreign,Known,Normal,Crypto,No,Yes
Low,Local,Known,Normal,Crypto,No,No
Low,Foreign,Known,Unusual,Travel,Yes,No
Medium,Local,Known,Normal,Electronics,No,No
Low,Local,Known,Normal,Electronics,Yes,No
Low,Local,Unknown,Normal,Travel,No,No
Low,Foreign,Known,Unusual,Grocery,No,Yes
Low,Local,Known,Normal,Electronics,No,No
High,Local,Known,Normal,Electronics,No,No
Low,Foreign,Unknown,Normal,Grocery,No,No
Medium,Local,Known,Normal,Grocery,No,No
Low,Local,Known,Normal,Grocery,No,No
Medium,Local,Known,Normal,Electronics,No,No
Medium,Foreign,Known,Normal,Travel,No,No
Low,Local,Known,Normal,Grocery,No,No
High,Foreign,Known,Normal,Crypto,No,Yes
Medium,Local,Known,Normal,Electronics,No,No
High,HighRisk,Known,Normal,Travel,No,No
High,Foreign,Unknown,Normal,Electronics,No,Yes
Medium,HighRisk,Unknown,Normal,Travel,No,No
High,Local,Known,Unusual,Grocery,No,No
Low,Foreign,Known,Normal,Travel,No,No
Low,Local,Known,Normal,Grocery,No,No
Low,Local,Known,Normal,Travel,No,No
Low,Local,Known,Unusual,Crypto,No,No
Low,Foreign,Known,Normal,Grocery,Yes,No
Low,HighRisk,Known,Normal,Grocery,Yes,Yes
Medium,Foreign,Unknown,Normal,Travel,No,Yes
Low,Local,Known,Normal,Grocery,No,No
Low,Local,Known,Normal,Travel,No,No
Medium,Foreign,Unknown,Normal,Grocery,No,No
Low,Local,Known,Normal,Grocery,No,No
Medium,Local,Known,Unusual,Crypto,No,No
Low,Local,Known,Normal,Electronics,Yes,Yes
High,Local,Known,Normal,Travel,No,No
Medium,Local,Known,Normal,Grocery,No,No
Low,Local,Known,Normal,Electronics,No,No
Low,Local,Known,Normal,Electronics,No,No
Medium,Local,Unknown,Normal,Electronics,No,No
Medium,HighRisk,Unknown,Normal,Electronics,Yes,Yes
Medium,Local,Unknown,Unusual,Electronics,No,Yes
Medium,Local,Known,Unusual,Grocery,No,No
Low,Local,Known,Normal,Grocery,No,No
Low,Local,Unknown,Normal,Travel,No,No
Low,HighRisk,Known,Unusual,Grocery,No,No
High,Foreign,Known,Normal,Electronics,No,No
Medium,Local,Known,Unusual,Grocery,No,No
Low,Local,Known,Normal,Electronics,No,No
